@relation combinationGesture


@attribute x1 numeric
@attribute y1 numeric
@attribute x2 numeric
@attribute y2 numeric
@attribute x3 numeric
@attribute y3 numeric
@attribute x4 numeric
@attribute y4 numeric
@attribute x5 numeric
@attribute y5 numeric
@attribute x6 numeric
@attribute y6 numeric
@attribute x7 numeric
@attribute y7 numeric
@attribute x8 numeric
@attribute y8 numeric
@attribute x9 numeric
@attribute y9 numeric
@attribute x10 numeric
@attribute y10 numeric
@attribute x11 numeric
@attribute y11 numeric
@attribute x12 numeric
@attribute y12 numeric
@attribute x13 numeric
@attribute y13 numeric
@attribute x14 numeric
@attribute y14 numeric
@attribute x15 numeric
@attribute y15 numeric
@attribute action {forAll, resursiveForAll, forSome}

@data
286.47,82.87,286.47,84.87,291.46,118.84,306.43,181.77,326.40,240.71,334.38,258.69,351.35,227.72,385.29,156.80,408.24,101.85,416.23,81.88,417.23,78.88,298.45,159.79,298.45,158.80,302.44,156.80,346.36,147.81,forAll
92.83,315.63,93.83,317.63,96.82,329.62,129.76,456.48,145.73,502.44,161.70,471.47,187.65,416.53,206.62,364.58,221.59,322.62,237.56,281.67,239.56,278.67,118.78,408.53,122.77,406.54,143.73,400.54,184.66,395.55,forAll
324.40,301.65,323.40,307.64,331.39,386.56,347.36,447.49,362.33,483.46,377.30,460.48,401.26,379.57,433.20,300.65,444.18,283.66,446.17,281.67,331.39,389.55,333.38,389.55,346.36,385.56,362.33,383.56,399.26,384.56,forAll
232.57,423.52,232.57,423.52,236.56,443.50,241.55,472.47,265.51,572.36,266.51,574.36,267.50,574.36,271.50,567.37,316.41,478.46,337.38,419.52,352.35,390.55,352.35,390.55,254.53,485.45,262.51,481.46,303.44,471.47,forAll
81.85,520.42,81.85,521.42,82.85,536.40,94.82,610.32,111.79,669.26,117.78,687.24,125.77,702.23,152.72,648.29,191.65,557.38,224.58,482.46,225.58,481.46,112.79,586.35,113.79,585.35,120.78,585.35,168.69,586.35,forAll
388.28,510.43,388.28,513.43,392.27,540.40,403.25,593.34,417.23,673.26,420.22,676.26,443.18,605.33,462.14,544.39,490.09,483.46,493.09,479.46,499.08,472.47,408.24,568.37,407.25,568.37,423.22,564.37,441.18,562.37,forAll
219.59,595.34,219.59,594.34,229.57,615.32,263.51,726.20,268.50,736.19,274.49,738.19,293.46,721.21,326.40,657.28,341.37,627.31,362.33,578.36,373.31,557.38,374.31,556.38,243.55,636.30,252.53,634.30,311.42,627.31,forAll
76.86,715.22,76.86,715.22,92.83,749.18,111.79,800.13,135.75,849.08,142.74,859.07,148.72,853.07,167.69,817.11,199.63,733.20,209.61,699.23,225.58,665.27,229.57,659.27,125.77,749.18,126.77,747.18,170.68,738.19,forAll
368.32,709.22,368.32,709.22,384.29,748.18,403.25,794.13,420.22,825.10,423.22,824.10,432.20,812.11,457.15,737.19,474.12,677.25,481.11,655.28,483.11,652.28,406.25,735.19,406.25,733.20,410.24,731.20,448.17,721.21,forAll
245.55,770.16,246.54,772.16,259.52,805.12,277.49,853.07,283.48,874.05,285.47,875.05,298.45,860.06,331.39,795.13,351.35,751.18,368.32,726.20,371.31,723.21,281.48,792.14,281.48,791.14,286.47,787.14,324.40,774.15,forAll
82.85,112.84,84.84,116.84,106.80,192.76,146.73,293.65,156.71,330.62,161.70,355.59,174.68,324.62,195.64,247.70,209.61,184.77,233.57,129.83,234.57,125.83,112.79,228.72,116.78,228.72,142.74,228.72,183.66,225.73,forAll
309.43,141.81,308.43,142.81,313.42,163.79,333.38,245.70,355.34,311.64,362.33,320.63,389.28,269.68,425.21,170.78,441.18,131.82,446.17,125.83,333.38,204.75,333.38,203.75,340.37,201.75,363.33,198.75,390.28,196.76,forAll
202.62,319.63,201.63,318.63,205.62,328.62,219.59,384.56,243.55,477.46,249.54,494.45,263.51,459.48,303.44,360.58,328.39,298.65,339.37,273.68,339.37,271.68,227.58,397.55,231.57,397.55,262.51,391.55,288.47,386.56,forAll
64.88,395.55,64.88,397.55,78.85,463.48,93.83,538.40,106.80,594.34,111.79,612.32,120.78,598.34,151.72,521.42,179.67,443.50,198.63,394.55,207.62,376.57,209.61,372.57,82.85,498.44,88.84,497.44,127.76,491.45,forAll
368.32,388.56,370.31,399.54,382.29,463.48,408.24,581.35,410.24,585.35,415.23,577.36,442.18,515.42,462.14,463.48,472.13,421.52,490.09,376.57,496.08,367.58,377.30,477.46,393.27,475.47,417.23,472.47,453.16,465.48,forAll
201.63,546.39,203.62,550.39,220.59,595.34,240.55,656.28,249.54,683.25,254.53,691.24,261.52,681.25,281.48,635.30,313.42,554.38,332.38,508.43,351.35,480.46,353.35,478.46,245.55,592.34,247.54,592.34,276.49,588.35,forAll
59.89,662.27,59.89,661.27,62.88,673.26,91.83,763.17,106.80,797.13,133.75,801.13,180.67,693.24,205.62,627.31,212.61,606.33,215.60,601.33,88.84,700.23,88.84,699.23,92.83,697.23,113.79,696.24,145.73,694.24,forAll
371.31,596.34,371.31,596.34,374.31,599.34,379.30,611.32,400.26,734.20,414.23,764.16,423.22,757.17,456.16,676.26,484.10,561.38,485.10,558.38,491.09,551.39,389.28,662.27,389.28,662.27,407.25,662.27,434.20,664.27,forAll
227.58,733.20,229.57,735.19,242.55,754.17,255.53,785.14,281.48,855.07,288.47,861.06,337.38,769.16,345.36,743.19,374.31,680.25,382.29,665.27,384.29,661.27,254.53,756.17,258.52,757.17,269.50,756.17,323.40,753.18,forAll
92.83,100.86,92.83,100.86,97.82,113.84,112.79,155.80,158.71,279.67,185.66,342.60,190.65,350.60,213.60,281.67,237.56,181.77,246.54,135.82,259.52,101.85,132.75,238.71,136.75,237.71,161.70,233.72,212.61,225.73,forAll
330.39,124.83,330.39,123.83,336.38,176.78,348.35,265.68,360.33,314.63,373.31,325.62,398.26,280.67,418.23,233.72,442.18,179.77,454.16,143.81,458.15,134.82,459.15,133.82,333.38,218.73,345.36,218.73,410.24,206.75,forAll
95.82,401.54,96.82,408.53,100.81,431.51,144.73,558.38,163.70,594.34,171.68,605.33,180.67,588.35,201.63,526.41,225.58,456.48,268.50,356.59,277.49,340.61,125.77,506.43,139.74,502.44,162.70,499.44,190.65,496.44,forAll
349.35,369.58,348.35,373.57,352.35,433.51,361.33,493.45,371.31,550.39,379.30,595.34,383.29,592.34,398.26,564.37,420.22,507.43,462.14,403.54,474.12,368.58,477.12,361.58,360.33,475.47,373.31,473.47,397.26,470.47,forAll
79.85,625.31,79.85,624.31,91.83,649.28,132.75,744.19,151.72,788.14,155.71,791.14,159.70,787.14,191.65,725.21,245.55,601.33,269.50,559.38,269.50,558.38,133.75,680.25,149.72,681.25,186.65,682.25,218.60,682.25,forAll
329.39,586.35,330.39,591.34,335.38,619.32,359.33,701.23,382.29,751.18,393.27,762.17,400.26,764.16,411.24,753.18,432.20,691.24,471.13,591.34,513.05,520.42,514.05,518.42,351.35,670.26,357.34,668.26,395.27,663.27,forAll
232.57,691.24,233.57,695.24,243.55,743.19,252.53,781.15,266.51,832.09,274.49,850.07,282.48,845.08,298.45,820.11,322.40,769.16,339.37,714.22,351.35,681.25,361.33,661.27,266.51,735.19,266.51,734.20,293.46,731.20,forAll
73.86,98.86,78.85,109.85,115.79,250.70,148.72,347.60,155.71,365.58,162.70,347.60,187.65,282.67,207.62,215.74,244.55,118.84,248.54,108.85,249.54,106.85,249.54,106.85,123.77,238.71,144.73,234.72,193.64,232.72,forAll
339.37,133.82,339.37,134.82,341.37,158.80,354.34,280.67,372.31,343.60,384.29,326.62,423.22,211.74,441.18,158.80,451.16,136.82,461.15,119.84,462.14,117.84,341.37,219.73,345.36,219.73,359.33,216.73,396.27,206.75,forAll
180.67,388.56,180.67,388.56,188.65,411.53,199.63,467.47,223.59,559.38,239.56,590.35,253.53,577.36,275.49,526.41,290.46,480.46,323.40,379.57,342.37,343.60,214.60,479.46,225.58,475.47,274.49,467.47,307.43,469.47,forAll
72.87,467.47,72.87,467.47,72.87,476.46,83.84,528.41,107.80,639.29,122.77,675.26,132.75,659.27,180.67,534.40,208.61,470.47,213.60,459.48,213.60,459.48,100.81,554.38,106.80,554.38,122.77,552.39,161.70,552.39,forAll
373.31,455.49,377.30,475.47,388.28,540.40,399.26,603.33,408.24,649.28,415.23,668.26,421.22,659.27,442.18,598.34,454.16,542.40,474.12,461.48,487.10,429.51,491.09,424.52,386.28,550.39,390.28,549.39,425.21,548.39,forAll
199.63,640.29,199.63,640.29,230.57,725.21,247.54,773.16,255.53,804.12,266.51,800.13,280.48,777.15,323.40,687.24,337.38,653.28,352.35,609.33,360.33,590.35,360.33,590.35,241.55,701.23,244.55,699.23,303.44,693.24,forAll
63.88,700.23,63.88,700.23,65.88,704.23,104.81,837.09,111.79,859.07,120.78,870.05,127.76,871.05,141.74,854.07,184.66,767.16,205.62,710.22,236.56,647.29,109.80,751.18,109.80,750.18,136.75,746.18,195.64,749.18,forAll
382.29,686.25,382.29,690.24,384.29,714.22,392.27,756.17,407.25,826.10,415.23,864.06,421.22,858.07,448.17,799.13,459.15,765.16,479.11,700.23,501.07,652.28,510.06,639.29,385.29,741.19,402.26,743.19,451.16,747.18,forAll
125.77,154.80,125.77,154.80,156.71,189.76,197.63,269.68,222.59,329.62,233.57,352.59,236.56,348.60,264.51,286.66,300.44,183.77,315.42,137.82,327.39,109.85,333.38,104.85,190.65,247.70,190.65,246.70,263.51,226.72,forAll
88.84,324.62,87.84,323.62,96.82,332.61,123.77,403.54,162.70,531.41,169.69,543.39,182.66,543.39,222.59,458.48,249.54,407.54,276.49,350.60,288.47,327.62,130.76,449.49,133.75,448.49,175.67,438.50,224.58,434.51,forAll
343.36,326.62,344.36,330.62,346.36,349.60,351.35,386.56,357.34,432.51,378.30,515.42,385.29,524.41,415.23,449.49,454.16,327.62,468.13,297.65,343.36,415.53,343.36,415.53,353.35,415.53,371.31,412.53,418.23,400.54,forAll
364.33,144.81,364.33,144.81,368.32,151.80,378.30,183.77,391.28,252.70,399.26,301.65,402.26,307.64,411.24,296.65,434.20,249.70,470.13,173.78,479.11,148.81,508.06,103.85,378.30,203.75,381.29,201.75,426.21,192.76,forAll
83.84,514.42,83.84,514.42,85.84,520.42,94.82,548.39,107.80,592.34,130.76,673.26,142.74,707.22,157.71,728.20,187.65,680.25,232.57,551.39,249.54,505.43,112.79,599.34,130.76,594.34,158.71,587.35,209.61,579.36,forAll
307.43,506.43,307.43,511.43,314.42,551.39,339.37,644.29,356.34,700.23,390.28,644.29,411.24,588.35,434.20,535.40,450.17,499.44,461.15,472.47,322.40,580.36,322.40,580.36,327.39,578.36,351.35,574.36,386.28,566.37,forAll
208.61,671.26,208.61,671.26,213.60,682.25,231.57,747.18,237.56,779.15,256.52,829.10,259.52,827.10,268.50,812.11,302.44,728.20,323.40,668.26,340.37,624.31,344.36,616.32,238.56,717.21,257.52,714.22,303.44,710.22,forAll
62.88,723.21,62.88,724.21,70.87,739.19,81.85,769.16,99.82,836.09,111.79,870.05,121.77,889.03,127.76,884.04,177.67,787.14,226.58,687.24,236.56,670.26,111.79,769.16,118.78,768.16,135.75,765.16,168.69,760.17,forAll
346.36,723.21,347.36,724.21,355.34,742.19,370.31,783.14,379.30,810.12,395.27,859.07,406.25,875.05,419.22,852.07,433.20,813.11,462.14,723.21,478.11,678.25,487.10,660.27,368.32,767.16,378.30,766.16,431.20,760.17,forAll
109.80,127.83,125.77,140.81,165.69,296.65,190.65,334.61,253.53,143.81,261.52,109.85,143.73,231.72,150.72,231.72,184.66,227.72,241.55,219.73,106.80,135.82,125.77,119.84,166.69,88.87,231.57,84.87,283.48,106.85,resursiveForAll
325.40,186.77,328.39,196.76,344.36,262.69,382.29,363.58,426.21,282.67,462.14,167.79,469.13,145.81,354.34,250.70,399.26,246.70,433.20,246.70,281.48,182.77,302.44,167.79,360.33,138.82,420.22,125.83,461.15,143.81,resursiveForAll
102.81,406.54,106.80,416.53,167.69,546.39,188.65,582.35,244.55,433.51,270.50,381.56,142.74,482.46,151.72,477.46,201.63,469.47,244.55,462.48,39.93,417.53,69.87,375.57,159.70,332.61,235.56,359.59,265.51,378.57,resursiveForAll
359.33,415.53,359.33,421.52,381.29,510.43,411.24,589.35,413.23,597.34,444.18,510.43,469.13,390.55,479.11,358.59,357.34,489.45,364.33,488.45,420.22,489.45,284.47,433.51,289.46,424.52,349.35,372.57,473.12,349.60,resursiveForAll
90.83,598.34,90.83,598.34,118.78,679.25,153.72,775.15,177.67,769.16,230.57,598.34,249.54,561.38,124.77,675.26,126.77,673.26,210.61,665.27,69.87,594.34,71.87,581.35,113.79,533.40,172.68,513.43,276.49,572.36,resursiveForAll
329.39,610.32,331.39,617.32,347.36,665.27,364.33,731.20,377.30,773.16,413.23,693.24,450.17,592.34,462.14,567.37,340.37,666.27,345.36,666.27,404.25,666.27,269.50,629.30,293.46,597.34,411.24,533.40,467.13,581.35,resursiveForAll
222.59,688.24,221.59,690.24,227.58,732.20,250.54,811.12,264.51,851.07,288.47,835.09,346.36,675.26,355.34,664.27,242.55,753.18,316.41,743.19,340.37,739.19,176.67,697.23,239.56,628.31,315.42,608.33,370.31,673.26,resursiveForAll
