@relation gesture


@attribute x1 numeric
@attribute y1 numeric
@attribute x2 numeric
@attribute y2 numeric
@attribute x3 numeric
@attribute y3 numeric
@attribute x4 numeric
@attribute y4 numeric
@attribute x5 numeric
@attribute y5 numeric
@attribute x6 numeric
@attribute y6 numeric
@attribute x7 numeric
@attribute y7 numeric
@attribute x8 numeric
@attribute y8 numeric
@attribute x9 numeric
@attribute y9 numeric
@attribute x10 numeric
@attribute y10 numeric
@attribute x11 numeric
@attribute y11 numeric
@attribute x12 numeric
@attribute y12 numeric
@attribute x13 numeric
@attribute y13 numeric
@attribute x14 numeric
@attribute y14 numeric
@attribute x15 numeric
@attribute y15 numeric
@attribute action {click, dbclick, drag}

@data
175.67,251.70,283.48,322.62,319.41,365.58,343.36,424.52,334.38,522.42,291.46,584.35,241.55,598.34,186.65,581.35,161.70,508.43,186.65,422.52,236.56,338.61,267.50,308.64,297.45,283.66,354.34,243.71,394.27,218.73,click
125.77,260.69,131.76,261.69,191.65,286.66,298.45,354.59,337.38,431.51,330.39,541.40,291.46,598.34,236.56,610.32,193.64,595.34,164.70,524.41,196.64,407.54,240.55,347.60,278.48,307.64,338.37,254.70,370.31,232.72,click
133.75,263.69,137.74,263.69,213.60,293.65,298.45,364.58,335.38,436.51,337.38,523.42,320.41,558.38,291.46,587.35,267.50,599.34,232.57,602.33,179.67,534.40,189.65,437.50,234.57,345.60,311.42,249.70,355.34,212.74,click
151.72,206.75,150.72,205.75,168.69,219.73,249.54,271.68,289.46,320.63,345.36,423.52,344.36,515.42,321.40,567.37,244.55,597.34,184.66,498.44,224.58,393.55,299.45,301.65,338.37,261.69,355.34,243.71,380.30,221.73,click
351.35,659.27,360.33,661.27,424.21,700.23,458.15,744.19,444.18,802.12,409.24,845.08,372.31,856.07,345.36,846.08,340.37,799.13,357.34,762.17,391.28,712.22,423.22,681.25,452.16,649.28,476.12,620.31,481.11,615.32,click
94.82,639.29,94.82,639.29,113.79,650.28,157.71,690.24,188.65,735.19,195.64,767.16,193.64,792.14,172.68,833.09,143.73,852.07,99.82,850.07,106.80,769.16,158.71,689.24,186.65,662.27,234.57,613.32,242.55,608.33,click
76.86,186.77,76.86,185.77,98.82,201.75,157.71,264.68,185.66,307.64,192.64,346.60,186.65,405.54,154.71,441.50,100.81,424.52,86.84,351.59,131.76,256.69,175.67,196.76,202.62,167.79,210.61,160.79,212.61,158.80,click
343.36,55.90,343.36,55.90,346.36,56.90,394.27,84.87,448.17,142.81,441.18,175.78,407.25,203.75,384.29,203.75,354.34,196.76,338.37,186.77,336.38,177.78,369.32,113.84,409.24,77.88,429.21,59.90,432.20,58.90,click
142.74,201.75,143.73,201.75,169.69,220.73,281.48,299.65,338.37,407.54,328.39,513.43,298.45,566.37,257.52,602.33,200.63,608.33,160.70,595.34,131.76,546.39,171.68,415.53,246.54,310.64,322.40,229.72,378.30,183.77,click
156.71,382.56,155.71,381.56,185.66,387.56,266.51,417.53,304.44,445.50,341.37,529.41,344.36,578.36,261.52,677.25,195.64,667.27,182.66,631.30,218.60,540.40,280.48,450.49,336.38,386.56,393.27,335.61,427.21,305.64,click
71.87,259.69,71.87,259.69,77.86,260.69,96.82,264.68,118.78,271.68,168.69,304.64,227.58,393.55,240.55,468.47,225.58,509.43,145.73,523.42,105.80,488.45,105.80,419.52,202.62,285.66,269.50,223.73,299.45,202.75,click
284.47,304.64,283.48,303.64,291.46,305.64,354.34,320.63,406.25,362.58,443.18,423.52,440.18,511.43,404.25,568.37,376.30,584.35,314.42,580.36,288.47,530.41,326.40,438.50,371.31,370.57,430.20,295.65,454.16,264.68,click
148.72,371.57,153.72,371.57,200.63,377.57,283.48,416.53,320.41,453.49,328.39,536.40,314.42,582.35,274.49,621.31,213.60,636.30,172.68,617.32,153.72,585.35,188.65,492.45,223.59,447.49,302.44,368.58,354.34,319.63,click
76.86,110.84,84.84,109.85,165.69,142.81,229.57,201.75,241.55,250.70,225.58,307.64,176.67,348.60,130.76,348.60,98.82,317.63,109.80,244.71,155.71,175.78,201.63,131.82,233.57,105.85,263.51,88.87,277.49,83.87,click
99.82,439.50,113.79,441.50,204.62,500.44,226.58,565.37,220.59,614.32,186.65,689.24,140.74,713.22,83.84,683.25,78.85,650.28,117.78,563.37,184.66,488.45,239.56,430.51,277.49,402.54,293.46,391.55,295.45,391.55,click
155.71,417.53,165.69,414.53,249.54,432.51,329.39,476.46,367.32,530.41,376.30,600.34,348.35,666.27,312.42,694.24,260.52,693.24,213.60,652.28,206.62,615.32,243.55,532.41,294.45,457.48,357.34,388.56,385.29,359.59,click
83.84,267.68,82.85,266.68,128.76,278.67,209.61,317.63,248.54,351.59,261.52,436.51,229.57,503.44,180.67,537.40,120.78,525.41,108.80,479.46,121.77,406.54,161.70,334.61,209.61,276.67,263.51,226.72,290.46,207.74,click
41.92,172.78,42.92,172.78,54.90,172.78,167.69,205.75,200.63,252.70,202.62,310.64,195.64,346.60,135.75,428.51,78.85,431.51,52.90,361.58,82.85,279.67,173.68,181.77,198.63,163.79,241.55,139.81,264.51,129.83,click
304.44,228.72,305.43,229.72,337.38,245.70,418.23,293.65,447.17,375.57,437.19,435.51,407.25,486.45,360.33,513.43,319.41,492.45,294.45,446.50,301.44,381.56,330.39,324.62,372.31,267.68,409.24,228.72,456.16,190.76,click
260.52,476.46,268.50,471.47,356.34,512.43,413.23,587.35,423.22,634.30,405.25,682.25,364.33,712.22,310.43,722.21,256.52,694.24,248.54,646.29,285.47,574.36,342.37,511.43,390.28,462.48,437.19,417.53,451.16,404.54,click
195.64,615.32,200.63,615.32,254.53,640.29,297.45,668.26,335.38,715.22,339.37,767.16,306.43,820.11,259.52,846.08,223.59,839.09,203.62,804.12,222.59,745.18,265.51,680.25,314.42,619.32,354.34,577.36,386.28,547.39,click
362.33,633.30,368.32,634.30,409.24,656.28,440.18,688.24,457.15,716.21,460.15,761.17,439.19,800.13,412.24,826.10,398.26,826.10,375.30,812.11,373.31,764.16,386.28,724.21,418.23,680.25,444.18,635.30,460.15,610.32,click
67.87,638.30,66.88,637.30,73.86,640.29,157.71,707.22,181.66,749.18,162.70,797.13,122.77,820.11,94.82,826.10,68.87,822.10,57.89,814.11,55.90,801.13,71.87,753.18,100.81,700.23,134.75,660.27,196.64,599.34,click
132.75,647.29,134.75,647.29,166.69,656.28,241.55,716.21,267.50,757.17,261.52,805.12,239.56,830.10,208.61,841.08,174.68,841.08,160.70,832.09,162.70,781.15,174.68,739.19,190.65,710.22,223.59,670.26,256.52,631.30,click
144.73,239.71,141.74,232.72,204.62,255.69,290.46,340.61,322.40,424.52,331.39,482.46,315.42,544.39,247.54,589.35,183.66,584.35,148.72,521.42,171.68,435.51,227.58,364.58,300.44,286.66,352.35,246.70,375.30,234.72,click
175.67,131.82,174.68,130.82,181.66,130.82,268.50,196.76,292.46,228.72,312.42,300.65,304.44,345.60,243.55,386.56,189.65,385.56,143.73,341.60,162.70,276.67,245.55,171.78,292.46,121.83,321.40,98.86,323.40,97.86,click
139.74,265.68,142.74,266.68,219.59,316.63,256.52,345.60,292.46,384.56,308.43,449.49,271.50,539.40,211.61,576.36,178.67,577.36,148.72,555.38,177.67,433.51,228.58,364.58,274.49,303.64,303.44,264.68,316.41,251.70,click
212.61,157.80,215.60,157.80,229.57,160.79,283.48,189.76,342.37,233.72,375.30,280.67,380.30,337.61,332.38,386.56,275.49,380.56,235.56,331.61,234.57,307.64,276.49,223.73,338.37,154.80,383.29,119.84,409.24,105.85,click
165.69,435.51,167.69,435.51,188.65,447.49,265.51,511.43,286.47,571.37,251.53,648.29,207.62,662.27,179.67,655.28,166.69,637.30,165.69,622.31,215.60,530.41,240.55,501.44,274.49,468.47,315.42,426.52,330.39,417.53,click
160.70,244.71,169.69,248.70,237.56,278.67,309.43,330.62,342.37,393.55,344.36,438.50,325.40,503.44,286.47,548.39,224.58,567.37,195.64,547.39,198.63,468.47,248.54,368.58,305.43,288.66,342.37,250.70,387.28,202.75,click
190.65,439.50,191.65,439.50,227.58,449.49,298.45,495.44,346.36,544.39,366.32,601.33,354.34,666.27,329.39,694.24,271.50,729.20,215.60,707.22,203.62,647.29,235.56,551.39,308.43,462.48,358.34,404.54,387.28,377.57,click
139.74,227.72,139.74,227.72,154.71,236.71,216.60,269.68,267.50,351.59,261.52,415.53,240.55,449.49,222.59,466.47,184.66,471.47,165.69,463.48,149.72,447.49,140.74,408.53,184.66,296.65,254.53,222.73,292.46,191.76,click
302.44,284.66,302.44,284.66,311.42,287.66,345.36,302.65,370.31,319.63,416.23,375.57,435.19,419.52,435.19,478.46,387.28,544.39,330.39,533.40,304.44,448.49,344.36,357.59,393.27,299.65,451.16,246.70,454.16,244.71,click
50.00,44.00,65.50,55.00,101.47,110.95,108.44,140.33,100.21,173.79,67.45,192.00,48.77,173.53,58.95,129.14,94.86,105.07,123.72,96.14,172.23,104.23,205.00,152.23,152.01,189.00,147.00,137.01,202.50,65.00,dbclick
41.00,40.00,101.68,95.36,109.03,117.04,108.00,152.98,89.64,185.91,62.84,192.00,46.00,140.38,65.00,107.00,109.29,80.62,181.20,91.13,198.00,144.46,161.28,191.00,136.00,159.01,161.10,103.87,225.85,61.09,dbclick
39.00,46.00,60.00,62.05,76.50,75.00,100.95,101.43,112.00,162.16,92.59,201.47,46.93,196.57,40.50,143.01,130.25,99.00,219.46,113.97,253.00,166.92,186.62,200.00,145.73,137.68,224.19,80.91,253.17,69.00,dbclick
37.00,48.00,65.79,67.93,99.72,102.90,120.00,156.23,65.77,203.59,38.51,173.01,52.38,110.47,151.20,80.00,188.74,80.00,240.17,117.33,229.20,178.32,171.00,180.50,155.61,141.67,187.78,63.29,238.00,26.00,dbclick
49.00,38.00,65.50,47.50,98.99,67.00,126.52,90.57,144.00,136.65,148.26,179.87,94.40,191.00,69.00,176.28,64.00,141.18,101.59,104.94,157.70,80.83,232.98,105.98,249.94,164.19,176.40,155.62,249.00,61.53,dbclick
